Altium Designer Pick and Place Locations
D:\PCB\FEDEVEL\1_Design_Your_Own_Board\Project Outputs for Design_Your_Own_Board\Pick Place\Pick Place for 28Pins_Projects_V1I1_PCB(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       30/08/23
Time:       08:06
Revision:   b4efc6f8afaeb66883beead959a25c8faeb4e235
Variant:    FIXED 5V
Units used: mm

Designator    Comment                     Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
C1            "100uF / 10V"               TopLayer C_AUL_C_SIZE                     7.1628mm     11.4120mm    90       "CAP ALUM 100UF 20% 10V SMD"                                                                                              
C2            "100uF / 10V"               TopLayer C_AUL_C_SIZE                     7.1628mm     3.9698mm     90       "CAP ALUM 100UF 20% 10V SMD"                                                                                              
C3            10uF/16V                    TopLayer C0805                            22.8092mm    22.9362mm    270      "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C4            100n                        TopLayer C0805                            20.6000mm    22.9500mm    90       "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C5            100n                        TopLayer C0805                            23.3426mm    30.9524mm    270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C6            100n                        TopLayer C0805                            18.2000mm    22.9500mm    90       "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C7            "1uF / 25V"                 TopLayer C0805                            13.9446mm    23.5458mm    180      "CAP CER 1UF 25V X5R 0805"                                                                                                
C8            100n                        TopLayer C0805                            2.1844mm     44.1198mm    270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C9            18pF                        TopLayer C0805                            26.3906mm    34.5186mm    180      "Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R"                                                                     
C10           18pF                        TopLayer C0805                            26.3906mm    23.8252mm    180      "Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R"                                                                     
C11           100n                        TopLayer C0805                            63.6000mm    46.2500mm    270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C12           10uF/16V                    TopLayer C0805                            11.6300mm    12.2200mm    270      "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C13           10uF/16V                    TopLayer C0805                            21.0820mm    11.1252mm    270      "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C14           100n                        TopLayer C0805                            39.0652mm    5.1308mm     180      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C15           100n                        TopLayer C0805                            30.4800mm    5.9842mm     270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C16           100n                        TopLayer C0805                            35.2552mm    5.8064mm     270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C17           100n                        TopLayer C0805                            2.9464mm     52.0192mm    180      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C19           10uF/16V                    TopLayer C0805                            45.5270mm    23.0632mm    0        "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C20           100n                        TopLayer C0805                            47.2034mm    7.7978mm     0        "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C21           10uF/16V                    TopLayer C0805                            24.8158mm    48.1584mm    180      "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C22           10uF/16V                    TopLayer C0805                            41.3410mm    7.7978mm     0        "TDK - C2012X5R1C106M085AC - SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 20%, X5R, C Series TDK" 
C23           100n                        TopLayer C0805                            41.3512mm    9.9568mm     0        "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C24           100n                        TopLayer C0805                            45.0342mm    9.9568mm     180      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C25           18pF                        TopLayer C0805                            45.5270mm    25.2222mm    180      "Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R"                                                                     
C26           100n                        TopLayer C0805                            21.3614mm    43.1038mm    90       "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C27           18pF                        TopLayer C0805                            41.8338mm    25.2222mm    360      "Cap Ceramic 18pF 50V C0G 5% SMD 0805 125C Paper T/R"                                                                     
C28           100n                        TopLayer C0805                            66.0400mm    12.5984mm    180      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C29           100n                        TopLayer C0805                            22.8092mm    19.2278mm    270      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
C30           100n                        TopLayer C0805                            6.0706mm     29.3878mm    180      "C Series 0805 0.1 uF 50 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor"                                          
